$ binwalk tt3720.ah-3_09-0001-tt3720.bin

DECIMAL       HEXADECIMAL     DESCRIPTION
8805052       0x865ABC        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/drivers/bgan_ut/ser/src/ifc_tt3710a_serial_ecos.cpp
8805150       0x865B1E        eCos RTOS string reference: "ecos.cpp"
8805728       0x865D60        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/tt3720/build/monroe.linux-gnu-gcc.mips/include/drivers/bgan_ut/gpio/gpio_function
8807316       0x866394        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/drivers/bgan_ut/usb/src/usb_serial_common.c
8807649       0x8664E1        eCos RTOS string reference: "ecos diagnostic port"
8807691       0x86650B        eCos RTOS string reference: "ecos diagnostic port settings"
8813616       0x867C30        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/drivers/bgan_ut/usim/src/usim_file_data.cpp
8815018       0x8681AA        PARity archive data - file number 29295
8819352       0x869298        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/drivers/bgan_ut/usim/src/usim_cache.cpp
8821300       0x869A34        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/drivers/bgan_ut/usim/src/usim_transport.cpp
8822484       0x869ED4        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/drivers/bgan_ut/usim/src/usim_app.cpp
8825264       0x86A9B0        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/drivers/bgan_ut/usim/src/usim_commands.cpp
8828604       0x86B6BC        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/drivers/bgan_ut/watchdog/src/watchdog_main.cpp
8830856       0x86BF88        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/drivers/bgan_ut/watchdog/src/watchdog_if_software.cpp
8831468       0x86C1EC        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/tt3720/build/monroe.linux-gnu-gcc.mips/include/drivers/bgan_ut/gpio/gpio_function
8832064       0x86C440        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/drivers/bgan_ut/watchdog_tt3700/src/watchdog_if_tt3700.cpp
8837412       0x86D924        CRC32 polynomial table, big endian
8881632       0x8785E0        Copyright string: "Copyright (C) 1994-2004 Tecgraf, PUC-Rio $"
8891564       0x87ACAC        Copyright string: "Copyright (C) 2004-2005 Kepler Project"
8893988       0x87B624        Base64 standard index table
8896080       0x87BE50        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/lib/lua/system_if/src/msg_if.cpp
8909604       0x87F324        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/tt3720/build/monroe.linux-gnu-gcc.mips/include/system/bgan_ut/message/sync_messag
8916648       0x880EA8        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/lib/lua/system_if/src/lua_init.cpp
8921128       0x882028        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/lib/lua/system_if/src/bt_if.cpp
8924956       0x882F1C        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/lib/lua/system_if/src/settings_if.cpp
8937360       0x885F90        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/lib/state_machine/src/dispatch.cpp
8937756       0x88611C        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/lib/state_machine/src/fifo.cpp
8937936       0x8861D0        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/lib/state_machine/src/statem.cpp
